Phenotype,HAI Type,Age,State,ID State,Percent Resistant,Year
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Alaska,2,3.4,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Alabama,1,5.2,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Arkansas,5,5.1,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Arizona,4,4.8,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,California,6,4.3,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Colorado,8,1.7,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Connecticut,9,1.7,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,District of Columbia,11,14.3,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Delaware,10,5.4,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Florida,12,2.3,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Georgia,13,2.6,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Hawaii,15,0,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Idaho,16,0,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Illinois,17,3.4,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Indiana,18,2,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Iowa,19,2,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Kansas,20,1.2,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Kentucky,21,2.2,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Louisiana,22,1.6,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Maine,23,4.9,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Maryland,24,2.9,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Massachusetts,25,2.7,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Michigan,26,2.3,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Minnesota,27,0.4,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Missouri,29,1.8,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Mississippi,28,2,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Montana,30,0,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,North Carolina,37,2.7,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Nebraska,31,3.9,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,New Hampshire,33,0,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,New Jersey,34,2.3,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,New Mexico,35,2.6,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Nevada,32,6.6,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,New York,36,4.2,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Ohio,39,2.5,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Oklahoma,40,3.2,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Oregon,41,1.2,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Pennsylvania,42,2.6,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Puerto Rico,72,38.2,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Rhode Island,44,1.1,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,South Carolina,45,1.3,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,South Dakota,46,1.1,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Tennessee,47,2.6,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Texas,48,3.7,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Utah,49,0,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Virginia,51,1.7,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Vermont,50,0,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Washington,53,1.9,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Wisconsin,55,1.8,2022
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,West Virginia,54,4.2,2022
