Phenotype,HAI Type,Age,State,ID State,Percent Resistant,Year
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Alaska,2,0,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Alabama,1,4.3,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Arkansas,5,2.7,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Arizona,4,6.7,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,California,6,3.2,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Colorado,8,2.5,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Connecticut,9,0.8,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,District of Columbia,11,3.5,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Delaware,10,0,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Florida,12,2.1,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Georgia,13,3.8,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Hawaii,15,1,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Idaho,16,1,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Illinois,17,4.3,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Indiana,18,2.2,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Iowa,19,0,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Kansas,20,1.4,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Kentucky,21,2.2,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Louisiana,22,2.4,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Maine,23,1.3,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Maryland,24,5.1,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Massachusetts,25,2.7,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Michigan,26,4.2,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Minnesota,27,0.9,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Missouri,29,2.4,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Mississippi,28,2,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Montana,30,0,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,North Carolina,37,1.7,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Nebraska,31,2.8,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,New Hampshire,33,1.1,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,New Jersey,34,3.8,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,New Mexico,35,2,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Nevada,32,6.5,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,New York,36,3.7,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Ohio,39,3.5,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Oklahoma,40,2.1,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Oregon,41,1,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Pennsylvania,42,2.8,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Puerto Rico,72,42.8,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Rhode Island,44,0,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,South Carolina,45,3.2,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,South Dakota,46,0,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Tennessee,47,2.3,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Texas,48,2.2,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Utah,49,0,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Virginia,51,1.8,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Vermont,50,0,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Washington,53,1.3,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,Wisconsin,55,1.2,2023
Carbapenem-resistant Enterobacterales,All HAI Type Data,All Ages Data,West Virginia,54,4.1,2023
