Phenotype,HAI Type,Age,State,ID State,Percent Resistant,Year
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Alaska,2,0,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Alabama,1,10.9,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Arkansas,5,7.9,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Arizona,4,11.9,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,California,6,14.5,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Colorado,8,3.3,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Connecticut,9,6.1,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,District of Columbia,11,7,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Delaware,10,2.2,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Florida,12,11.7,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Georgia,13,7.8,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Hawaii,15,5.2,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Idaho,16,5.2,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Illinois,17,9.9,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Indiana,18,3.2,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Iowa,19,4.6,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Kansas,20,8.8,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Kentucky,21,14.6,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Louisiana,22,7.9,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Maine,23,3,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Maryland,24,9.8,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Massachusetts,25,8.9,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Michigan,26,5.7,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Minnesota,27,4.6,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Missouri,29,8.3,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Mississippi,28,6.9,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Montana,30,8.9,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,North Carolina,37,8.9,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,North Dakota,38,3.2,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Nebraska,31,8.5,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,New Hampshire,33,0,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,New Jersey,34,9.7,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,New Mexico,35,5.7,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Nevada,32,9.2,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,New York,36,9.4,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Ohio,39,7.1,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Oklahoma,40,9.7,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Oregon,41,3.6,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Pennsylvania,42,7.2,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Puerto Rico,72,13.6,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Rhode Island,44,4.3,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,South Carolina,45,5.4,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,South Dakota,46,1.6,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Tennessee,47,6.1,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Texas,48,14.7,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Utah,49,5.1,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Virginia,51,8.7,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Vermont,50,2.5,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Washington,53,4.8,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,Wisconsin,55,4.3,2021
MDR <em>E.coli</em>,All HAI Type Data,All Ages Data,West Virginia,54,11.9,2021
