Phenotype,HAI Type,Age,State,ID State,Percent Resistant,Year
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Alabama,1,1.7,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Arkansas,5,3.4,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Arizona,4,2.8,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,California,6,3.6,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Colorado,8,0.7,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Connecticut,9,4.5,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,District of Columbia,11,7.7,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Delaware,10,0,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Florida,12,3.2,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Georgia,13,1,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Hawaii,15,0,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Idaho,16,0,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Illinois,17,7.7,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Indiana,18,3.7,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Iowa,19,0,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Kansas,20,2.9,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Kentucky,21,5.3,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Louisiana,22,2.5,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Maine,23,0,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Maryland,24,7.6,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Massachusetts,25,6.6,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Michigan,26,9.5,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Minnesota,27,0,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Missouri,29,4.7,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Mississippi,28,2.4,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Montana,30,0,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,North Carolina,37,2.9,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,North Dakota,38,0,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Nebraska,31,1.8,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,New Jersey,34,4.8,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,New Mexico,35,0,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Nevada,32,4.8,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,New York,36,5.8,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Ohio,39,4.8,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Oklahoma,40,7.2,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Oregon,41,0,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Pennsylvania,42,2.3,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Rhode Island,44,0,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,South Carolina,45,2,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,South Dakota,46,0,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Tennessee,47,1.4,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Texas,48,3.1,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Utah,49,1.5,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Virginia,51,5.4,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Washington,53,1.2,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Wisconsin,55,1.2,2020
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,West Virginia,54,5.6,2020
