"ID State","State","Year","Prescriptions per 1,000 Population"
"1","Alabama","2020",77
"2","Alaska","2020",22
"4","Arizona","2020",42
"5","Arkansas","2020",71
"6","California","2020",33
"8","Colorado","2020",24
"9","Connecticut","2020",44
"10","Delaware","2020",44
"11","District of Columbia","2020",47
"12","Florida","2020",65
"13","Georgia","2020",55
"15","Hawaii","2020",38
"16","Idaho","2020",30
"17","Illinois","2020",43
"18","Indiana","2020",47
"19","Iowa","2020",50
"20","Kansas","2020",52
"21","Kentucky","2020",71
"22","Louisiana","2020",76
"23","Maine","2020",36
"24","Maryland","2020",42
"25","Massachusetts","2020",35
"26","Michigan","2020",47
"27","Minnesota","2020",29
"28","Mississippi","2020",82
"29","Missouri","2020",51
"30","Montana","2020",28
"31","Nebraska","2020",52
"32","Nevada","2020",39
"33","New Hampshire","2020",30
"34","New Jersey","2020",50
"35","New Mexico","2020",36
"36","New York","2020",56
"37","North Carolina","2020",51
"38","North Dakota","2020",43
"39","Ohio","2020",52
"40","Oklahoma","2020",54
"41","Oregon","2020",26
"42","Pennsylvania","2020",48
"44","Rhode Island","2020",47
"45","South Carolina","2020",61
"46","South Dakota","2020",40
"47","Tennessee","2020",68
"48","Texas","2020",53
"49","Utah","2020",31
"50","Vermont","2020",28
"51","Virginia","2020",42
"53","Washington","2020",23
"54","West Virginia","2020",77
"55","Wisconsin","2020",32
"56","Wyoming","2020",31
