"ID State","State","Year","Prescriptions per 1,000 Population"
"1","Alabama","2019",181
"2","Alaska","2019",71
"4","Arizona","2019",106
"5","Arkansas","2019",160
"6","California","2019",91
"8","Colorado","2019",73
"9","Connecticut","2019",128
"10","Delaware","2019",116
"11","District of Columbia","2019",127
"12","Florida","2019",131
"13","Georgia","2019",127
"15","Hawaii","2019",111
"16","Idaho","2019",91
"17","Illinois","2019",125
"18","Indiana","2019",120
"19","Iowa","2019",140
"20","Kansas","2019",126
"21","Kentucky","2019",170
"22","Louisiana","2019",185
"23","Maine","2019",104
"24","Maryland","2019",112
"25","Massachusetts","2019",102
"26","Michigan","2019",135
"27","Minnesota","2019",84
"28","Mississippi","2019",201
"29","Missouri","2019",115
"30","Montana","2019",93
"31","Nebraska","2019",128
"32","Nevada","2019",107
"33","New Hampshire","2019",84
"34","New Jersey","2019",159
"35","New Mexico","2019",106
"36","New York","2019",146
"37","North Carolina","2019",109
"38","North Dakota","2019",100
"39","Ohio","2019",131
"40","Oklahoma","2019",135
"41","Oregon","2019",66
"42","Pennsylvania","2019",120
"44","Rhode Island","2019",139
"45","South Carolina","2019",135
"46","South Dakota","2019",115
"47","Tennessee","2019",154
"48","Texas","2019",134
"49","Utah","2019",86
"50","Vermont","2019",85
"51","Virginia","2019",111
"53","Washington","2019",71
"54","West Virginia","2019",157
"55","Wisconsin","2019",84
"56","Wyoming","2019",123
