Phenotype,HAI Type,Age,State,ID State,Percent Resistant,Year
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Alaska,2,0,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Alabama,1,3.1,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Arkansas,5,0,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Arizona,4,4.5,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,California,6,4.2,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Colorado,8,0.9,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Connecticut,9,2.1,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,District of Columbia,11,7.1,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Delaware,10,20,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Florida,12,3,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Georgia,13,3.9,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Hawaii,15,0,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Idaho,16,0,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Illinois,17,2.6,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Indiana,18,0.6,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Iowa,19,3.3,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Kansas,20,0,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Kentucky,21,4.7,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Louisiana,22,4.4,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Maine,23,0,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Maryland,24,8.7,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Massachusetts,25,16.6,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Michigan,26,8.4,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Minnesota,27,0.8,2019
Vancomycin-resistant <em>Enterococcus faecalis</em>,All HAI Type Data,All Ages Data,Missouri,29,5.4,2019
